SID,GPA_S1,CA_AVG,EXAM_AVG,CLIN_AVG,LAB_AVG,ATT_RATE,ASSIGN_LATE,Age_group,Gender,Year_study,Programme,SES,Financial_diff,Employment_hrs,Study_hrs_day,Sleep_hrs,Self_risk_percep,Reviews notes within 24h,Understands content pre-exam,Seeks help when stuck,Uses library regularly,Completes readings,Takes organised notes,Concentration in self-study,Participates in class,Clinical takes study time,Prepared for clinical assess,Rotations affect performance,Adequate supervision,Schedule conflicts,Confident in clinical skills,Anxious about assessments,Sleep difficulty,Burnt out,Hopeless/unmotivated,Physical health affected,Considered break,Emotionally supported,Lecturers approachable,Sleep affects concentration,Regular exercise,Balanced diet,Health interferes studies,Takes rest breaks,Sense of belonging,Participates in clubs,Adequate advisory support,Concerns taken seriously,Early intervention provided,Peer study groups effective,Knows where to get help,Programme prepares for career,Confident to complete prog,Can improve performance,Sets academic goals,Persists when difficult,Manages time effectively,Self-motivates,Feels prepared,RISK_LABEL,RISK_BINARY
HS2026344,2.59,0.69,0.7,0.68,0.84,0.94,Rarely,21-23 years,Female,300,Nursing,Low income,Always,No,1-2 hours,4-5 hours,Moderate risk,5,2,2,3,2,4,3,3,2,4,3,2,1,3,3,2,5,2,3,3,5,1,5,2,2,2,4,2,2,3,2,4,3,3,2,5,5,3,3,1,3,5,Moderate Risk,1
HS2026116,3.31,0.9,0.79,0.7,0.94,0.89,Sometimes,21-23 years,Female,200,Nursing,High income,Never,Yes - 10-20 hours/week,1-2 hours,5-6 hours,Moderate risk,3,3,3,2,3,1,2,3,2,1,4,4,4,4,2,3,3,2,2,3,4,4,3,1,3,2,3,2,3,2,3,1,2,3,2,3,2,2,3,4,3,3,Low Risk,0
HS2026443,3.09,0.78,1.0,0.57,0.82,0.9,Almost never,21-23 years,Female,300,Nursing,Low income,Sometimes (monthly),Yes - fewer than 10 hours/week,3-4 hours,4-5 hours,High risk,3,2,4,3,2,4,2,2,3,5,2,2,2,2,2,1,2,3,2,4,3,4,2,3,1,4,3,1,4,3,2,4,2,2,3,4,1,3,3,3,2,3,High Risk,1
HS2026011,1.5,0.67,0.63,0.68,0.63,0.68,Sometimes,27-29 years,Male,200,Nursing,Middle income,Sometimes (monthly),Yes - more than 20 hours/week,1-2 hours,More than 8 hours,High risk,2,2,2,2,1,1,1,1,2,2,2,2,2,2,5,5,4,3,3,5,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,2,1,1,High Risk,1
HS2026166,2.77,0.77,0.7,0.93,0.81,0.92,Rarely,21-23 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),No,1-2 hours,More than 8 hours,High risk,4,5,1,4,2,1,1,4,3,2,2,5,2,1,1,1,2,4,3,4,1,3,1,1,2,1,5,3,1,4,2,1,1,4,3,3,1,3,3,3,1,4,Moderate Risk,1
HS2026241,2.21,0.89,0.89,0.7,0.94,0.69,Sometimes,21-23 years,Female,300,Nursing,Upper-middle income,Never,Yes - 10-20 hours/week,1-2 hours,6-7 hours,Low risk,5,1,2,3,5,1,2,3,5,4,3,5,5,1,2,2,1,2,3,1,4,1,5,2,2,4,4,2,2,3,5,1,2,3,5,5,1,2,4,2,5,5,High Risk,1
HS2026345,3.44,0.79,0.89,0.84,0.95,0.95,Almost never,24-26 years,Female,300,Nursing,Middle income,Never,No,2-3 hours,5-6 hours,Moderate risk,3,1,1,4,2,4,2,2,5,4,2,5,2,4,3,3,3,1,3,3,3,1,3,4,5,5,2,5,1,4,2,4,2,2,5,4,3,3,2,2,5,3,Low Risk,0
HS2026358,2.56,0.91,0.92,0.7,0.88,0.9,Rarely,21-23 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),Yes - 10-20 hours/week,2-3 hours,4-5 hours,Very low risk,3,3,2,3,2,4,2,4,3,3,3,1,4,1,2,2,2,1,5,2,3,2,1,4,5,4,2,3,2,3,2,4,2,4,3,2,4,3,5,3,2,3,High Risk,1
HS2026027,2.53,0.8,0.9,0.93,0.6,0.9,Rarely,27-29 years,Female,300,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,4-5 hours,Moderate risk,2,2,3,3,3,2,2,3,2,3,2,3,3,2,4,4,4,4,4,4,4,4,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High Risk,1
HS2026470,2.59,0.89,0.88,0.89,0.91,0.6,Rarely,24-26 years,Female,300,Nursing,Middle income,Never,Yes - more than 20 hours/week,2-3 hours,4-5 hours,High risk,3,4,3,3,2,3,3,1,1,2,2,3,2,3,3,4,3,3,5,1,3,5,4,4,3,1,1,2,3,3,2,3,3,1,1,2,2,1,5,1,4,3,Low Risk,0
HS2026214,1.93,1.0,0.6,0.96,0.84,0.69,Sometimes,24-26 years,Female,300,Nursing,Middle income,Never,Yes - fewer than 10 hours/week,3-4 hours,4-5 hours,Moderate risk,3,5,3,1,1,3,4,4,2,3,4,5,3,3,1,1,2,3,2,1,3,2,1,4,2,1,3,4,3,1,1,3,4,4,2,2,5,3,4,4,3,3,High Risk,1
HS2026279,3.0,0.93,0.92,0.69,0.91,0.9,Rarely,30-35 years,Male,300,Nursing,Middle income,Always,Yes - fewer than 10 hours/week,Less than 1 hour,4-5 hours,Low risk,2,4,1,4,5,3,2,1,5,5,3,2,2,2,3,2,1,2,5,4,4,2,4,3,2,3,2,3,1,4,5,3,2,1,5,3,5,2,3,2,2,2,Low Risk,0
HS2026026,2.83,0.8,0.8,0.89,0.55,0.93,Rarely,30-35 years,Male,300,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,4-5 hours,Moderate risk,2,2,3,3,3,1,1,3,2,3,1,2,2,2,4,4,4,4,4,4,4,2,2,1,1,4,2,1,2,1,2,1,1,2,2,1,1,2,2,1,1,2,Moderate Risk,1
HS2026195,3.88,1.0,0.89,0.96,0.82,0.67,Rarely,24-26 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,2-3 hours,6-7 hours,Moderate risk,1,2,2,4,1,3,2,4,2,1,4,1,4,5,2,5,1,4,2,4,3,1,2,3,3,2,4,4,2,4,1,3,2,4,2,2,2,4,4,2,2,1,Low Risk,0
HS2026399,3.46,0.69,0.79,0.7,0.6,0.8,Rarely,21-23 years,Female,300,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,5-6 hours,Low risk,2,2,1,2,4,2,2,4,3,4,3,4,2,2,4,4,2,2,2,2,5,3,4,2,3,5,3,3,1,2,4,2,2,4,3,4,3,2,2,4,1,2,Low Risk,0
HS2026306,3.43,0.78,0.7,0.83,0.84,0.69,Rarely,18-20 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),No,1-2 hours,4-5 hours,Moderate risk,4,2,5,4,1,5,3,4,5,1,1,4,1,3,3,3,3,2,1,3,1,3,1,2,2,2,5,2,5,4,1,5,3,4,5,5,3,4,5,2,3,4,Low Risk,0
HS2026471,2.63,1.0,1.0,0.9,0.82,0.79,Almost never,30-35 years,Male,300,Nursing,Middle income,Always,Yes - fewer than 10 hours/week,More than 4 hours,5-6 hours,High risk,3,1,2,1,2,3,2,2,4,2,1,2,4,5,3,2,1,5,2,3,2,2,2,3,3,4,4,5,2,1,2,3,2,2,4,1,4,4,3,2,2,3,High Risk,1
HS2026173,3.19,0.66,0.92,0.69,0.86,0.85,Rarely,27-29 years,Female,200,Nursing,Middle income,Sometimes (monthly),No,2-3 hours,4-5 hours,Moderate risk,3,3,5,2,3,4,3,4,4,4,4,4,4,2,5,4,4,5,2,4,1,3,1,1,2,1,3,2,5,2,3,4,3,4,4,4,4,3,1,3,4,3,Low Risk,0
HS2026269,2.73,0.79,0.78,0.69,0.9,1.0,Sometimes,21-23 years,Female,300,Nursing,Middle income,Sometimes (monthly),Yes - fewer than 10 hours/week,1-2 hours,6-7 hours,Moderate risk,4,2,4,3,4,3,4,3,1,2,5,1,5,5,4,1,2,5,2,5,3,3,3,1,1,1,2,5,4,3,4,3,4,3,1,3,5,4,4,3,2,4,Low Risk,0
HS2026070,2.62,0.89,0.49,1.0,0.94,0.7,Rarely,24-26 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,3-4 hours,6-7 hours,Low risk,1,3,2,2,3,4,2,3,5,3,4,1,1,1,1,1,2,5,2,3,4,5,4,3,3,4,5,1,1,1,1,3,3,3,5,1,2,1,1,1,3,3,High Risk,1
HS2026499,3.37,0.7,0.77,0.69,0.88,0.91,Almost never,21-23 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),No,2-3 hours,6-7 hours,Moderate risk,2,3,2,4,4,1,3,1,2,4,1,1,3,4,3,3,4,2,1,2,3,5,2,1,3,2,3,2,2,4,4,1,3,1,2,4,5,5,1,3,2,2,Low Risk,0
HS2026407,3.24,0.85,1.0,0.92,0.92,0.69,Rarely,18-20 years,Male,300,Nursing,Middle income,Always,No,3-4 hours,4-5 hours,Low risk,1,2,2,3,4,1,3,2,3,3,4,4,2,2,2,2,1,5,1,3,1,3,3,2,5,3,2,3,2,3,4,1,3,2,3,4,4,5,2,2,5,1,Low Risk,0
HS2026307,3.27,0.99,0.89,0.52,0.7,0.79,Rarely,18-20 years,Male,300,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,3-4 hours,5-6 hours,Moderate risk,5,4,2,3,3,3,1,1,5,3,2,3,3,4,3,3,3,1,4,1,1,4,3,3,2,2,4,1,2,3,3,3,1,1,5,4,1,3,2,3,4,5,Low Risk,0
HS2026127,2.35,0.9,0.95,0.89,0.91,0.7,Rarely,27-29 years,Female,200,Nursing,High income,Never,No,2-3 hours,5-6 hours,Low risk,2,4,3,4,4,1,2,2,5,2,2,2,4,4,3,5,3,3,2,3,3,3,2,3,3,4,2,1,3,4,4,1,2,2,5,5,5,4,1,1,2,2,High Risk,1
HS2026069,2.86,0.69,0.78,0.88,0.85,1.0,Rarely,21-23 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),No,1-2 hours,4-5 hours,Low risk,2,2,2,1,2,3,1,2,5,2,4,2,5,2,4,4,2,4,3,5,1,2,2,4,2,4,2,2,4,4,4,3,1,1,1,1,1,1,1,1,1,1,Moderate Risk,1
HS2026350,3.0,1.0,0.68,0.79,0.76,0.7,Rarely,24-26 years,Female,300,Nursing,Middle income,Sometimes (monthly),Yes - fewer than 10 hours/week,1-2 hours,5-6 hours,Low risk,2,3,4,4,1,3,3,5,4,2,2,5,1,4,2,3,5,1,1,4,4,2,3,2,5,5,1,4,4,4,1,3,3,5,4,4,2,4,1,2,2,2,Low Risk,0
HS2026411,2.87,0.67,0.7,0.85,0.64,0.96,Rarely,27-29 years,Male,300,Nursing,Low income,Sometimes (monthly),Yes - fewer than 10 hours/week,1-2 hours,6-7 hours,Low risk,2,2,4,2,2,4,1,4,3,2,3,2,3,3,2,3,4,3,4,4,3,3,4,1,4,2,2,3,4,2,2,4,1,4,3,5,4,3,4,2,5,2,Low Risk,0
HS2026243,3.14,0.7,0.66,0.79,1.0,0.7,Rarely,21-23 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),No,1-2 hours,4-5 hours,High risk,3,1,3,4,3,1,5,5,5,1,1,2,5,3,1,3,3,2,1,4,3,5,3,4,5,2,5,2,3,4,3,1,5,5,5,4,2,4,2,1,4,3,High Risk,1
HS2026040,1.76,0.8,0.7,0.96,0.84,0.89,Rarely,24-26 years,Female,200,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,4-5 hours,Moderate risk,2,2,2,4,2,2,2,2,4,2,4,2,4,2,4,4,4,4,4,4,2,2,4,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High Risk,1
HS2026002,3.48,0.95,0.82,0.82,0.87,0.9,Almost never,21-23 years,Female,200,Nursing,Middle income,Always,No,2-3 hours,5-6 hours,Moderate risk,3,3,3,5,4,3,3,3,5,2,4,2,4,1,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,Low Risk,0
HS2026130,3.48,0.77,1.0,1.0,0.62,0.68,Sometimes,27-29 years,Male,200,Nursing,Middle income,Sometimes (monthly),Yes - fewer than 10 hours/week,3-4 hours,More than 8 hours,Very low risk,5,3,4,2,1,2,3,1,4,1,5,4,1,4,4,5,3,3,3,5,1,1,3,5,2,3,2,1,4,2,1,2,3,1,4,1,4,1,2,2,2,5,Low Risk,0
HS2026537,3.06,0.96,0.89,0.69,0.72,0.93,Rarely,21-23 years,Female,300,Nursing,Middle income,Never,Yes - fewer than 10 hours/week,1-2 hours,6-7 hours,Moderate risk,5,3,4,2,2,4,3,3,2,1,3,4,2,1,1,4,5,1,3,2,3,2,3,3,5,4,2,3,4,2,2,4,3,3,2,5,3,4,2,1,4,5,Low Risk,0
HS2026064,2.26,0.82,0.75,0.6,0.93,0.88,Rarely,24-26 years,Female,200,Nursing,Middle income,Sometimes (monthly),Yes - fewer than 10 hours/week,3-4 hours,5-6 hours,Moderate risk,4,3,2,2,3,2,2,3,2,3,1,3,2,3,2,3,2,3,4,3,3,4,2,3,4,2,3,2,4,4,4,4,2,4,2,2,3,3,2,3,4,3,High Risk,1
HS2026561,2.35,0.69,1.0,0.7,0.47,0.84,Rarely,27-29 years,Male,300,Nursing,Upper-middle income,Never,No,3-4 hours,5-6 hours,Low risk,4,5,4,3,2,2,2,2,2,3,2,3,4,4,2,1,3,4,5,5,4,2,5,2,5,5,1,3,4,3,2,2,2,2,2,4,3,3,3,4,4,4,Low Risk,0
HS2026356,2.22,0.79,0.79,1.0,0.85,1.0,Rarely,18-20 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),No,Less than 1 hour,4-5 hours,High risk,2,4,3,2,2,2,2,2,2,4,4,1,4,4,3,1,3,5,4,3,5,4,4,3,2,3,2,3,3,2,2,2,2,2,2,4,4,2,4,2,4,2,High Risk,1
HS2026249,1.88,0.89,0.6,0.66,0.97,0.69,Sometimes,21-23 years,Female,300,Nursing,Middle income,Never,No,1-2 hours,6-7 hours,Moderate risk,2,4,5,1,2,4,2,5,3,5,3,3,2,2,2,2,1,1,3,3,3,2,3,3,2,5,2,2,5,1,2,4,2,5,3,1,2,2,1,5,2,2,High Risk,1
HS2026541,3.35,0.92,0.69,0.69,0.55,0.87,Almost never,21-23 years,Female,300,Nursing,Upper-middle income,Rarely (once or twice a semester),No,2-3 hours,5-6 hours,Moderate risk,3,2,2,2,3,4,4,2,2,3,3,3,2,1,2,3,5,1,3,1,3,1,4,4,4,1,5,1,2,2,3,4,4,2,2,2,1,3,2,3,2,3,Low Risk,0
HS2026583,3.24,0.64,0.64,0.77,0.65,1.0,Always,30-35 years,Female,300,ENT,Middle income,Sometimes (monthly),No,2-3 hours,5-6 hours,Moderate risk,2,3,4,3,4,2,3,5,3,3,3,3,4,2,2,3,3,3,3,2,1,1,3,5,3,2,3,3,3,3,3,3,3,3,3,1,2,3,3,3,2,3,Moderate Risk,1
HS2026005,3.33,0.63,0.49,0.66,0.64,0.7,Rarely,18-20 years,Female,200,Nursing,Very low income,Rarely (once or twice a semester),Yes - 10-20 hours/week,1-2 hours,Less than 4 hours,Very low risk,5,4,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,High Risk,1
HS2026582,2.87,0.65,0.81,0.85,0.85,1.0,Always,27-29 years,Female,300,ENT,Middle income,Often (weekly),No,2-3 hours,7-8 hours,Very low risk,2,2,5,2,2,5,3,2,3,3,3,4,4,1,2,5,2,2,5,4,2,2,5,5,5,5,5,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,High Risk,1
HS2026170,3.06,0.79,0.82,0.7,1.0,0.78,Almost never,24-26 years,Female,200,Nursing,Low income,Always,No,1-2 hours,5-6 hours,Low risk,3,4,3,1,4,4,4,4,5,3,3,1,1,3,4,5,1,3,1,5,3,2,3,2,2,4,2,3,3,1,4,4,4,4,5,2,2,3,1,5,2,3,Low Risk,0
HS2026479,1.5,0.6,0.7,0.89,0.85,1.0,Sometimes,30-35 years,Male,300,Nursing,High income,Never,No,1-2 hours,4-5 hours,Moderate risk,5,5,4,1,3,5,2,4,3,4,1,3,2,4,2,2,3,4,2,4,3,2,1,3,1,1,1,1,4,1,3,5,2,4,3,2,2,3,2,1,3,5,High Risk,1
HS2026266,2.98,0.89,0.6,0.7,0.91,1.0,Rarely,21-23 years,Female,300,Nursing,Low income,Always,No,2-3 hours,4-5 hours,Low risk,2,1,3,2,1,2,2,3,5,3,3,3,2,3,2,3,3,5,2,4,3,3,4,2,2,4,1,4,3,2,1,2,2,3,5,3,2,4,2,2,1,2,Low Risk,0
HS2026060,3.07,0.7,0.55,0.79,0.97,0.79,Sometimes,24-26 years,Male,200,Nursing,Middle income,Rarely (once or twice a semester),No,3-4 hours,Less than 4 hours,Moderate risk,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,3,3,2,2,3,2,2,2,2,2,3,3,3,3,2,3,2,3,4,3,1,1,2,2,2,2,1,Low Risk,0
HS2026491,3.43,0.87,0.66,0.99,0.93,0.89,Rarely,21-23 years,Female,300,Nursing,Low income,Always,No,2-3 hours,More than 8 hours,Very low risk,3,3,3,5,3,4,2,1,4,3,3,2,3,1,3,2,3,2,5,4,4,5,3,3,4,3,2,5,3,5,3,4,2,1,4,4,3,3,4,2,5,3,Low Risk,0
HS2026398,3.11,0.7,0.6,0.78,0.97,0.93,Rarely,27-29 years,Female,300,Nursing,Low income,Always,No,Less than 1 hour,4-5 hours,Low risk,2,2,4,2,2,3,5,3,3,1,3,2,1,2,2,3,3,4,3,2,1,4,4,2,4,4,5,1,4,2,2,3,5,3,3,4,3,2,3,2,3,2,Low Risk,0
HS2026349,2.61,0.9,0.69,1.0,0.92,1.0,Rarely,21-23 years,Female,300,Nursing,Upper-middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,2-3 hours,6-7 hours,Moderate risk,3,2,2,5,5,2,2,4,3,4,4,4,4,3,5,4,2,3,2,3,3,1,4,5,2,4,1,5,2,5,5,2,2,4,3,3,3,2,2,4,1,3,High Risk,1
HS2026458,2.89,0.79,0.91,1.0,0.82,0.79,Sometimes,21-23 years,Female,300,Nursing,Low income,Always,Yes - 10-20 hours/week,1-2 hours,5-6 hours,Moderate risk,2,4,4,2,3,4,2,3,2,1,3,4,3,2,5,3,2,1,4,5,1,3,4,4,4,4,1,4,4,2,3,4,2,3,2,2,2,1,3,4,1,2,Low Risk,0
HS2026514,2.46,0.7,0.79,0.89,0.8,0.9,Sometimes,24-26 years,Female,300,Nursing,Middle income,Sometimes (monthly),No,More than 4 hours,6-7 hours,Moderate risk,2,4,1,3,1,1,3,5,5,2,4,2,3,3,1,4,5,2,3,5,5,4,2,2,2,2,1,5,1,3,1,1,3,5,5,3,5,1,5,1,2,2,Low Risk,0
HS2026291,1.45,1.0,0.78,0.4,0.78,0.9,Sometimes,21-23 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),Yes - more than 20 hours/week,3-4 hours,5-6 hours,High risk,4,2,4,5,2,4,3,1,5,3,5,1,5,2,4,4,4,5,3,2,5,1,3,1,4,2,2,3,4,5,2,4,3,1,5,3,3,2,5,2,2,4,High Risk,1
HS2026030,3.17,0.8,0.78,0.89,0.8,0.72,Almost never,27-29 years,Male,300,Nursing,Middle income,Rarely (once or twice a semester),No,2-3 hours,4-5 hours,Low risk,3,2,3,2,3,4,2,3,2,4,2,1,3,4,2,1,2,1,2,1,2,3,2,3,2,4,2,1,4,3,3,3,3,2,1,1,2,2,1,2,2,1,Low Risk,0
HS2026234,2.69,0.59,1.0,0.75,0.71,1.0,Sometimes,21-23 years,Male,300,Nursing,Low income,Always,Yes - 10-20 hours/week,2-3 hours,4-5 hours,High risk,2,1,4,3,1,2,4,4,5,3,5,2,5,3,4,4,3,3,4,1,1,5,1,2,2,1,4,2,4,3,1,2,4,4,5,3,2,3,4,5,2,2,High Risk,1
HS2026042,1.79,0.8,1.0,0.93,0.96,0.89,Rarely,30-35 years,Male,200,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,5-6 hours,Moderate risk,4,2,2,2,2,1,3,2,4,2,4,2,4,2,2,2,2,2,3,2,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Moderate Risk,1
HS2026224,3.71,0.93,1.0,0.79,0.82,0.9,Rarely,21-23 years,Female,300,Nursing,Middle income,Sometimes (monthly),No,3-4 hours,5-6 hours,High risk,2,4,3,2,5,4,3,4,3,3,4,2,1,4,2,3,3,3,2,3,1,3,3,2,4,2,2,1,3,2,5,4,3,4,3,2,4,3,1,3,2,2,Low Risk,0
HS2026579,2.91,0.69,0.68,1.0,0.99,1.0,Always,30-35 years,Male,300,ENT,Middle income,Rarely (once or twice a semester),No,3-4 hours,4-5 hours,Low risk,4,3,4,3,3,4,3,4,4,4,3,4,3,3,4,4,4,5,5,5,3,5,4,4,4,4,3,5,3,4,4,5,4,4,4,3,3,3,3,3,4,3,High Risk,1
HS2026198,2.9,0.92,0.89,0.89,0.77,1.0,Almost never,27-29 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),Yes - more than 20 hours/week,2-3 hours,4-5 hours,Low risk,1,4,5,3,1,3,3,2,3,3,3,4,3,2,2,2,4,2,5,4,2,2,5,2,1,3,2,5,5,3,1,3,3,2,3,3,5,2,3,1,5,1,Moderate Risk,1
HS2026322,1.1,0.89,0.9,0.87,0.87,0.79,Rarely,27-29 years,Male,300,Nursing,Middle income,Sometimes (monthly),Yes - more than 20 hours/week,1-2 hours,4-5 hours,Low risk,3,3,2,3,5,3,2,3,5,2,2,2,5,5,2,1,1,4,5,3,5,2,2,4,3,4,5,4,2,3,5,3,2,3,5,3,4,3,4,3,2,3,High Risk,1
HS2026357,2.28,0.89,0.96,1.0,0.94,0.79,Rarely,18-20 years,Male,300,Nursing,Middle income,Rarely (once or twice a semester),No,1-2 hours,6-7 hours,High risk,4,1,2,3,2,4,4,4,3,1,2,4,5,4,3,5,3,3,3,1,3,4,4,3,2,2,4,1,2,3,2,4,4,4,3,4,3,5,4,3,4,4,High Risk,1
HS2026567,2.35,1.0,0.7,0.89,0.81,0.96,Rarely,30-35 years,Female,300,Nursing,Middle income,Always,Yes - fewer than 10 hours/week,2-3 hours,4-5 hours,Very low risk,3,3,3,5,3,3,3,1,3,2,5,2,5,3,4,1,1,1,5,3,3,2,2,2,5,1,2,1,3,5,3,3,3,1,3,5,4,5,2,1,5,3,Moderate Risk,1
HS2026200,2.6,0.89,0.7,0.78,1.0,0.55,Sometimes,24-26 years,Female,300,Nursing,Low income,Often (weekly),No,More than 4 hours,4-5 hours,Low risk,1,4,2,2,1,4,3,3,3,2,2,2,5,5,3,4,4,2,3,2,2,3,4,3,4,2,5,3,2,2,1,4,3,3,3,3,1,3,5,4,2,1,High Risk,1
HS2026298,2.68,0.7,1.0,0.65,0.96,1.0,Sometimes,27-29 years,Female,300,Nursing,Low income,Always,No,1-2 hours,6-7 hours,Low risk,3,4,3,3,4,1,3,3,3,2,2,4,1,2,2,1,1,2,3,5,3,4,4,2,3,2,3,3,3,3,4,1,3,3,3,2,4,3,5,5,4,3,High Risk,1
HS2026530,2.19,0.87,0.91,0.9,0.95,0.79,Rarely,27-29 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),No,3-4 hours,5-6 hours,Low risk,2,1,3,3,2,1,3,2,5,3,5,3,2,1,4,3,3,3,2,1,1,4,3,3,2,3,3,3,3,3,2,1,3,2,5,2,3,3,5,1,5,2,Low Risk,0
HS2026113,2.52,0.88,0.72,0.69,1.0,0.96,Rarely,21-23 years,Male,200,Nursing,Upper-middle income,Never,No,1-2 hours,More than 8 hours,Low risk,3,3,2,3,2,1,1,3,2,2,2,1,4,4,3,2,2,3,1,3,2,1,2,1,1,2,2,1,2,3,2,1,1,3,2,3,3,4,3,4,3,3,High Risk,1
HS2026374,3.02,1.0,0.96,0.67,0.83,0.79,Sometimes,21-23 years,Female,300,Nursing,Middle income,Never,Yes - fewer than 10 hours/week,2-3 hours,4-5 hours,Low risk,4,1,1,4,4,5,2,2,3,3,2,2,2,3,3,3,5,1,3,1,1,5,1,1,1,3,5,1,1,4,4,5,2,2,3,4,3,2,1,2,3,4,High Risk,1
HS2026287,2.34,1.0,0.99,0.7,0.66,1.0,Rarely,21-23 years,Male,300,Nursing,High income,Never,Yes - fewer than 10 hours/week,2-3 hours,6-7 hours,Moderate risk,4,5,3,4,4,5,5,2,3,4,3,4,2,2,3,2,5,1,1,2,2,5,2,5,3,5,1,4,3,4,4,5,5,2,3,4,5,4,1,3,3,4,Low Risk,0
HS2026093,2.5,0.89,0.79,0.66,0.84,0.79,Almost never,21-23 years,Female,200,Nursing,Upper-middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,1-2 hours,5-6 hours,Low risk,5,4,2,4,4,2,2,1,3,2,4,1,2,4,4,5,1,1,4,4,5,1,5,3,2,4,1,5,2,4,4,2,2,1,3,3,2,5,3,3,2,5,High Risk,1
HS2026480,1.87,0.79,0.7,0.91,0.91,1.0,Sometimes,27-29 years,Male,300,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,Less than 4 hours,Moderate risk,2,3,4,3,3,3,3,3,4,3,5,2,3,1,2,2,2,2,4,1,3,1,3,2,1,4,1,2,4,3,3,3,3,3,4,4,4,3,3,3,5,2,Low Risk,0
HS2026227,2.26,0.67,0.7,0.69,0.82,0.87,Sometimes,27-29 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,1-2 hours,4-5 hours,Low risk,3,4,4,5,3,4,1,4,3,4,2,2,3,2,1,5,5,1,2,1,5,5,3,5,4,4,3,2,4,5,3,4,1,4,3,4,1,4,3,2,2,3,High Risk,1
HS2026444,2.5,0.7,0.7,0.89,0.86,1.0,Sometimes,21-23 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,1-2 hours,Less than 4 hours,Moderate risk,2,3,1,2,2,1,3,3,2,4,3,1,2,4,5,3,1,5,3,4,2,4,5,3,3,3,3,2,1,2,2,1,3,3,2,3,5,4,5,3,5,2,High Risk,1
HS2026453,2.43,0.8,1.0,0.6,1.0,0.7,Rarely,21-23 years,Male,300,Nursing,Middle income,Rarely (once or twice a semester),No,3-4 hours,5-6 hours,Very low risk,3,4,1,4,1,4,1,3,2,2,3,5,2,4,4,2,4,3,4,3,3,2,5,3,2,3,3,4,1,4,1,4,1,3,2,4,1,4,2,2,3,3,High Risk,1
HS2026376,2.5,0.7,0.93,1.0,0.89,0.92,Rarely,27-29 years,Male,300,Nursing,Low income,Always,No,3-4 hours,4-5 hours,High risk,3,2,5,4,2,3,4,2,4,5,5,3,4,5,3,2,1,3,3,4,5,1,4,5,2,4,3,3,5,4,2,3,4,2,4,2,4,1,3,1,4,3,Low Risk,0
HS2026283,1.89,0.87,0.6,0.91,0.98,0.79,Sometimes,21-23 years,Female,300,Nursing,Low income,Sometimes (monthly),No,More than 4 hours,6-7 hours,Low risk,2,4,1,3,2,3,3,2,5,2,3,1,4,1,3,1,3,5,3,2,2,3,5,5,2,3,3,2,1,3,2,3,3,2,5,5,2,2,4,4,2,2,High Risk,1
HS2026209,2.57,0.68,1.0,0.78,0.93,0.89,Rarely,21-23 years,Male,300,Nursing,Upper-middle income,Never,Yes - 10-20 hours/week,More than 4 hours,4-5 hours,Low risk,4,4,2,5,5,4,3,1,3,2,3,5,1,4,4,2,4,4,2,4,4,5,1,3,4,1,4,3,2,5,5,4,3,1,3,3,2,1,1,2,1,4,High Risk,1
