SID,CGPA_Y1,GPA_S1,CA_AVG,EXAM_AVG,CLIN_AVG,LAB_AVG,ATT_RATE,FAIL_COUNT,WARN_STATUS,ASSIGN_LATE,Age_group,Gender,Year_study,Programme,SES,Financial_diff,Employment_hrs,Study_hrs_day,Sleep_hrs,Self_risk_percep,Reviews notes within 24h,Understands content pre-exam,Seeks help when stuck,Uses library regularly,Completes readings,Takes organised notes,Concentration in self-study,Participates in class,Clinical takes study time,Prepared for clinical assess,Rotations affect performance,Adequate supervision,Schedule conflicts,Confident in clinical skills,Anxious about assessments,Sleep difficulty,Burnt out,Hopeless/unmotivated,Physical health affected,Considered break,Emotionally supported,Lecturers approachable,Sleep affects concentration,Regular exercise,Balanced diet,Health interferes studies,Takes rest breaks,Sense of belonging,Participates in clubs,Adequate advisory support,Concerns taken seriously,Early intervention provided,Peer study groups effective,Knows where to get help,Programme prepares for career,Confident to complete prog,Can improve performance,Sets academic goals,Persists when difficult,Manages time effectively,Self-motivates,Feels prepared,RISK_LABEL
HS2026139,2.74,2.88,0.79,0.64,0.99,1,1,1,No,Rarely,24-26 years,Female,200,Nursing,Low income,Always,No,3-4 hours,6-7 hours,High risk,3,5,2,5,5,3,3,1,4,2,1,2,5,3,4,1,1,3,1,5,4,4,3,3,1,4,2,1,2,5,5,3,3,1,4,1,2,2,2,3,2,3,Moderate Risk
HS2026140,2.6075,2.96,0.7,0.88,0.88,0.88,0.7,1,No,Rarely,24-26 years,Male,200,Nursing,Low income,Never,No,1-2 hours,4-5 hours,Moderate risk,2,4,3,3,1,2,3,5,2,3,4,4,4,2,2,1,3,3,3,2,1,4,2,1,1,1,4,1,3,3,1,2,3,5,2,2,3,1,2,4,4,2,Moderate Risk
HS2026141,3.2125,3.02,0.93,0.9,1,1,0.69,0,No,Rarely,21-23 years,Female,200,Nursing,Middle income,Sometimes (monthly),Yes - 10-20 hours/week,3-4 hours,6-7 hours,Low risk,3,2,5,1,1,5,4,3,4,2,3,1,5,5,3,3,4,5,3,3,1,2,3,2,3,4,4,5,5,1,1,5,4,3,4,3,4,3,5,2,2,3,Low Risk
HS2026142,2.845,3.08,0.9,0.63,0.89,0.9,0.7,1,No,Almost never,30-35 years,Female,200,Nursing,Low income,Always,No,3-4 hours,4-5 hours,Moderate risk,4,1,3,2,3,4,2,5,1,2,2,2,5,1,5,3,1,4,2,2,3,3,2,2,5,4,2,2,3,2,3,4,2,5,1,2,2,3,3,2,3,4,Moderate Risk
HS2026143,2.895,2.9,0.6,1,0.9,0.85,0.69,2,No,Sometimes,21-23 years,Female,200,Nursing,Middle income,Sometimes (monthly),No,2-3 hours,6-7 hours,Low risk,2,1,2,1,1,3,4,2,4,2,4,3,1,4,5,3,4,2,4,4,1,2,3,1,3,4,5,2,2,1,1,3,4,2,4,2,4,2,3,2,1,2,High Risk
HS2026144,2.665,2.69,0.79,0.64,1,0.77,0.79,0,No,Sometimes,21-23 years,Female,200,Nursing,Upper-middle income,Never,No,1-2 hours,4-5 hours,Very low risk,3,2,1,2,4,1,2,2,1,2,3,3,3,1,5,3,1,2,5,4,3,4,3,2,3,5,4,3,1,2,4,1,2,2,1,3,2,2,4,5,3,3,Low Risk
HS2026145,3.045,2.88,0.87,0.64,1,0.88,0.69,0,No,Rarely,24-26 years,Female,200,Nursing,Upper-middle income,Never,Yes - fewer than 10 hours/week,3-4 hours,5-6 hours,Low risk,2,2,2,1,4,4,3,1,2,2,2,3,2,4,1,5,3,5,3,5,2,2,1,3,4,2,3,4,2,1,4,4,3,1,2,5,5,2,3,2,1,2,Low Risk
HS2026146,2.9275,3.02,0.78,0.8,0.7,0.84,1,1,No,Rarely,30-35 years,Male,200,Nursing,Middle income,Rarely (once or twice a semester),No,1-2 hours,4-5 hours,Low risk,3,2,2,4,3,3,5,1,4,2,5,2,2,4,3,2,1,2,3,3,4,5,3,3,4,5,1,4,2,4,3,3,5,1,4,2,3,1,4,5,4,3,Moderate Risk
HS2026147,2.64,2.67,0.99,0.8,0.69,0.7,0.79,1,No,Rarely,27-29 years,Male,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - 10-20 hours/week,3-4 hours,5-6 hours,High risk,4,4,4,1,1,4,3,3,4,3,2,4,3,3,1,4,1,3,5,3,4,3,3,3,4,5,4,1,4,1,1,4,3,3,4,1,3,1,2,3,1,4,Moderate Risk
HS2026148,2.385,2.52,0.88,0.8,0.7,0.73,0.9,3,No,Rarely,27-29 years,Female,200,Nursing,High income,Never,Yes - 10-20 hours/week,3-4 hours,More than 8 hours,High risk,4,3,5,2,3,4,2,3,5,2,2,5,3,3,2,2,3,4,4,4,4,2,3,1,1,5,3,3,5,2,3,4,2,3,5,1,2,3,2,2,3,4,High Risk
HS2026149,2.91,2.83,1,0.95,0.69,0.92,0.9,2,No,Almost never,21-23 years,Female,200,Nursing,Low income,Sometimes (monthly),No,Less than 1 hour,More than 8 hours,Very low risk,1,4,2,3,2,2,4,4,2,2,3,1,3,2,5,5,3,3,3,2,4,3,3,4,3,5,1,2,2,3,2,2,4,4,2,3,4,1,1,5,3,1,High Risk
HS2026150,3.01,3.17,0.89,0.79,0.79,0.69,0.92,0,No,Sometimes,24-26 years,Female,200,Nursing,Middle income,Never,No,1-2 hours,More than 8 hours,Low risk,3,4,3,3,2,5,3,1,4,1,3,1,1,3,4,2,2,4,3,5,1,2,5,5,4,2,4,4,3,3,2,5,3,1,4,3,3,4,5,3,4,3,Low Risk
HS2026151,3.145,3.23,0.9,0.5,0.69,0.89,0.78,0,No,Sometimes,27-29 years,Male,200,Nursing,Middle income,Always,No,2-3 hours,6-7 hours,Low risk,4,4,3,2,2,4,1,2,3,2,2,1,3,3,3,4,1,2,3,3,4,4,3,5,2,3,1,4,3,2,2,4,1,2,3,3,2,3,3,2,4,4,Low Risk
HS2026152,2.8125,3.25,1,0.65,0.7,0.73,0.7,2,No,Rarely,27-29 years,Female,200,Nursing,Low income,Always,Yes - fewer than 10 hours/week,1-2 hours,5-6 hours,Low risk,2,2,2,3,3,5,1,1,4,1,3,3,2,5,5,3,5,3,5,3,5,2,5,4,5,2,2,3,2,3,3,5,1,1,4,1,3,3,4,2,3,2,High Risk
HS2026153,2.9225,3.48,1,0.49,0.89,0.64,0.89,1,No,Rarely,21-23 years,Male,200,Nursing,Middle income,Never,No,3-4 hours,4-5 hours,Moderate risk,5,2,3,3,3,4,2,2,4,2,5,5,4,1,1,5,4,5,2,3,3,3,2,2,4,4,2,2,3,3,3,4,2,2,4,1,2,4,3,3,4,5,Moderate Risk
HS2026154,2.8625,2.92,0.7,0.5,0.7,0.89,0.85,1,No,Rarely,30-35 years,Male,200,Nursing,Upper-middle income,Never,Yes - 10-20 hours/week,3-4 hours,6-7 hours,Moderate risk,4,4,4,3,2,3,1,1,5,2,4,3,2,3,1,4,3,5,2,1,3,5,3,1,1,1,3,3,4,3,2,3,1,1,5,3,1,1,5,5,4,4,Moderate Risk
HS2026155,3.3025,3.38,0.69,0.53,0.77,0.66,0.69,0,No,Rarely,27-29 years,Male,200,Nursing,Low income,Sometimes (monthly),Yes - fewer than 10 hours/week,3-4 hours,4-5 hours,Moderate risk,2,3,2,3,1,5,3,3,2,2,3,4,2,5,5,5,5,1,2,5,4,2,4,4,2,3,4,2,2,3,1,5,3,3,2,2,1,1,2,2,1,2,Low Risk
HS2026156,2.7125,2.63,0.7,0.78,0.79,0.9,0.73,1,No,Almost never,18-20 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),No,2-3 hours,Less than 4 hours,Moderate risk,1,3,1,2,2,1,3,3,1,2,5,3,4,4,3,4,4,4,1,4,1,4,3,5,2,3,1,5,1,2,2,1,3,3,1,2,2,5,4,3,2,1,Moderate Risk
HS2026157,3.185,3.19,0.69,0.95,0.69,1,0.69,0,No,Sometimes,18-20 years,Male,200,Nursing,Upper-middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,2-3 hours,6-7 hours,Moderate risk,1,2,2,1,5,1,2,3,3,2,4,1,3,3,2,5,3,3,2,1,1,4,2,3,2,1,4,1,2,1,5,1,2,3,3,4,4,3,3,4,5,1,Low Risk
HS2026158,3.3175,3.38,0.79,1,0.6,0.81,0.68,0,No,Sometimes,21-23 years,Female,200,Nursing,Middle income,Sometimes (monthly),No,Less than 1 hour,4-5 hours,High risk,2,2,4,2,2,2,1,4,1,3,4,3,4,5,5,5,3,4,2,3,3,5,3,1,3,5,4,2,4,2,2,2,1,4,1,3,1,3,2,3,2,2,Low Risk
HS2026159,2.8275,2.77,0.69,0.66,0.79,1,0.84,0,No,Rarely,21-23 years,Male,200,Nursing,High income,Never,No,1-2 hours,6-7 hours,Moderate risk,3,3,2,1,3,4,3,1,3,2,4,1,2,2,4,5,2,3,1,2,3,3,3,1,2,1,5,3,2,1,3,4,3,1,3,1,5,3,3,3,4,3,Low Risk
HS2026160,3.055,3.04,0.7,0.8,0.89,0.8,0.78,0,No,Rarely,24-26 years,Male,200,Nursing,Middle income,Sometimes (monthly),Yes - more than 20 hours/week,More than 4 hours,4-5 hours,Low risk,4,4,4,1,2,4,1,4,4,5,2,1,5,4,5,2,1,5,4,4,5,4,1,3,4,3,4,3,4,1,2,4,1,4,4,2,1,3,1,3,4,4,Low Risk
HS2026161,2.9975,3.15,0.7,0.79,0.91,0.85,0.7,0,No,Rarely,27-29 years,Male,200,Nursing,High income,Never,Yes - fewer than 10 hours/week,Less than 1 hour,6-7 hours,Moderate risk,2,4,1,4,3,3,4,5,3,1,4,2,2,2,3,1,2,2,3,5,1,1,2,5,5,4,2,5,1,4,3,3,4,5,3,2,3,3,2,3,4,2,Low Risk
HS2026162,3,3.35,0.89,0.8,0.66,1,0.9,0,No,Rarely,21-23 years,Male,200,Nursing,Middle income,Sometimes (monthly),No,2-3 hours,4-5 hours,Low risk,2,3,5,4,2,1,1,5,4,3,3,4,2,2,5,1,4,3,3,4,3,1,5,2,4,2,2,3,5,4,2,1,1,5,4,2,3,3,3,1,4,2,Low Risk
HS2026163,2.8525,2.52,0.89,0.78,1,0.94,1,1,No,Almost never,21-23 years,Male,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,More than 4 hours,5-6 hours,Very low risk,4,5,1,3,5,4,3,3,5,3,4,4,3,2,4,5,5,1,5,2,4,5,2,5,5,2,3,3,1,3,5,4,3,3,5,2,3,3,2,3,4,4,Moderate Risk
HS2026164,2.965,3.17,0.89,0.64,0.79,1,0.79,0,No,Sometimes,24-26 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,1-2 hours,4-5 hours,Low risk,5,4,3,5,3,4,4,2,3,4,4,1,5,3,4,2,4,2,3,3,3,3,1,4,4,4,4,4,3,5,3,4,4,2,3,2,3,3,2,3,1,5,Low Risk
HS2026165,2.655,2.56,0.7,0.64,0.7,0.9,0.96,1,No,Sometimes,24-26 years,Male,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,1-2 hours,5-6 hours,Low risk,3,4,1,1,3,1,3,2,1,1,1,4,3,3,2,3,3,3,4,2,1,5,3,3,3,1,4,1,1,1,3,1,3,2,1,4,4,3,5,4,4,3,Moderate Risk
HS2026166,2.7025,2.77,0.77,0.7,0.93,0.81,0.92,1,No,Rarely,21-23 years,Female,200,Nursing,Middle income,Rarely (once or twice a semester),No,1-2 hours,More than 8 hours,High risk,4,5,1,4,2,1,1,4,3,2,2,5,2,1,1,1,2,4,3,4,1,3,1,1,2,1,5,3,1,4,2,1,1,4,3,3,1,3,3,3,1,4,Moderate Risk
HS2026167,2.5325,2.81,0.79,0.9,0.9,0.84,1,2,No,Rarely,30-35 years,Female,200,Nursing,Low income,Sometimes (monthly),Yes - more than 20 hours/week,Less than 1 hour,More than 8 hours,High risk,2,3,5,4,3,3,3,5,2,4,5,1,5,4,5,3,3,4,2,2,5,3,3,2,1,1,2,1,5,4,3,3,3,5,2,3,4,4,3,3,2,2,High Risk
HS2026168,2.615,2.58,0.69,0.75,1,0.86,0.89,0,No,Rarely,21-23 years,Female,200,Nursing,Low income,Often (weekly),Yes - more than 20 hours/week,1-2 hours,More than 8 hours,Very low risk,2,3,3,2,2,1,2,3,4,1,4,3,3,1,2,3,3,3,2,2,2,3,3,5,2,2,2,2,3,2,2,1,2,3,4,3,4,2,3,2,1,2,Low Risk
HS2026169,3.195,3.56,0.6,0.66,1,1,0.92,0,No,Rarely,21-23 years,Female,200,Nursing,Upper-middle income,Rarely (once or twice a semester),No,1-2 hours,6-7 hours,Low risk,5,4,3,4,4,5,3,1,3,3,4,3,1,4,2,4,2,4,4,3,2,2,4,2,3,1,4,3,3,4,4,5,3,1,3,2,3,3,4,2,1,5,Low Risk
HS2026170,3.1225,3.06,0.79,0.82,0.7,1,0.78,0,No,Almost never,24-26 years,Female,200,Nursing,Low income,Always,No,1-2 hours,5-6 hours,Low risk,3,4,3,1,4,4,4,4,5,3,3,1,1,3,4,5,1,3,1,5,3,2,3,2,2,4,2,3,3,1,4,4,4,4,5,2,2,3,1,5,2,3,Low Risk
HS2026171,3.19,3.04,0.89,0.76,0.69,0.76,0.7,0,No,Sometimes,30-35 years,Male,200,Nursing,Low income,Always,No,1-2 hours,4-5 hours,Low risk,4,4,5,3,2,2,1,3,3,4,2,1,3,4,4,4,3,4,4,5,2,1,3,2,4,2,5,2,5,3,2,2,1,3,3,1,4,4,1,1,1,4,Low Risk
HS2026172,3.4925,3.33,0.91,0.83,0.7,0.82,0.89,0,No,Sometimes,27-29 years,Male,200,Nursing,Low income,Never,Yes - 10-20 hours/week,1-2 hours,6-7 hours,Moderate risk,4,5,4,4,3,3,2,3,3,3,2,3,3,1,2,3,3,1,4,1,5,4,2,5,3,4,4,3,4,4,3,3,2,3,3,3,5,2,3,2,1,4,Low Risk
HS2026173,3.2525,3.19,0.66,0.92,0.69,0.86,0.85,0,No,Rarely,27-29 years,Female,200,Nursing,Middle income,Sometimes (monthly),No,2-3 hours,4-5 hours,Moderate risk,3,3,5,2,3,4,3,4,4,4,4,4,4,2,5,4,4,5,2,4,1,3,1,1,2,1,3,2,5,2,3,4,3,4,4,4,4,3,1,3,4,3,Low Risk
HS2026174,2.9575,2.85,1,0.84,0.79,0.74,0.69,0,No,Rarely,21-23 years,Female,200,Nursing,Low income,Always,No,2-3 hours,Less than 4 hours,Moderate risk,2,5,4,2,2,2,3,4,1,3,3,3,4,2,4,3,4,3,4,2,5,3,3,5,4,5,1,3,4,2,2,2,3,4,1,1,2,4,2,2,3,2,Low Risk
HS2026175,3.1475,3.19,0.79,0.69,0.69,0.95,0.73,0,No,Rarely,24-26 years,Female,200,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,6-7 hours,Moderate risk,3,5,2,2,2,2,4,4,3,4,4,4,4,4,4,3,2,3,2,5,4,4,3,2,2,2,5,1,2,2,2,2,4,4,3,5,5,3,3,1,3,3,Low Risk
HS2026176,2.6075,2.65,0.7,0.89,1,0.96,0.69,0,No,Rarely,27-29 years,Male,200,Nursing,Upper-middle income,Never,Yes - fewer than 10 hours/week,3-4 hours,4-5 hours,Moderate risk,3,3,4,5,2,4,3,3,4,2,4,5,1,2,2,3,1,3,3,3,2,2,2,3,3,4,3,2,4,5,2,4,3,3,4,3,4,2,3,2,3,3,Low Risk
HS2026177,2.57,3.02,0.93,0.93,0.79,0.77,0.68,0,No,Almost never,27-29 years,Female,200,Nursing,Upper-middle income,Never,No,2-3 hours,6-7 hours,High risk,5,1,2,2,1,3,4,2,4,5,1,1,3,5,4,2,3,1,3,3,1,2,4,1,4,1,2,3,2,2,1,3,4,2,4,5,4,3,2,1,2,5,Low Risk
HS2026178,2.395,2.17,0.9,0.8,0.9,0.95,0.84,0,No,Sometimes,21-23 years,Male,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - 10-20 hours/week,2-3 hours,4-5 hours,Moderate risk,2,2,5,4,4,5,3,1,4,4,3,1,2,2,2,4,2,2,3,1,4,1,3,3,5,3,2,1,5,4,4,5,3,1,4,3,2,4,2,2,4,2,Moderate Risk
HS2026179,3.215,3.08,0.6,0.8,0.9,0.98,0.78,0,No,Sometimes,30-35 years,Male,200,Nursing,Middle income,Rarely (once or twice a semester),Yes - 10-20 hours/week,2-3 hours,6-7 hours,Low risk,1,2,4,4,5,1,1,1,3,5,1,3,4,2,4,4,4,3,3,2,5,5,4,4,1,3,2,1,4,4,5,1,1,1,3,2,1,4,2,5,1,1,Low Risk
HS2026180,2.9275,3.04,0.79,0.89,0.92,0.88,0.7,0,No,Rarely,27-29 years,Male,200,Nursing,High income,Never,No,1-2 hours,4-5 hours,Moderate risk,4,4,3,2,4,2,5,4,1,3,2,4,5,3,5,3,5,2,2,2,4,4,2,4,4,3,2,2,3,2,4,2,5,4,1,1,4,4,2,3,1,4,Low Risk
HS2026181,2.4225,2.3,0.87,0.93,0.78,0.94,0.9,0,No,Rarely,18-20 years,Female,200,Nursing,Low income,Sometimes (monthly),No,1-2 hours,5-6 hours,Low risk,3,3,5,3,2,2,2,4,1,2,2,5,4,2,4,4,4,4,2,1,2,1,4,4,2,2,2,4,5,3,2,2,2,4,1,3,3,1,4,2,1,3,Moderate Risk
HS2026182,3.2,3.35,0.92,0.9,0.7,0.97,1,0,No,Rarely,18-20 years,Male,200,Nursing,Middle income,Never,No,2-3 hours,4-5 hours,Very low risk,1,3,4,4,2,3,3,3,2,4,3,4,5,2,5,2,3,5,3,3,3,3,2,4,3,1,3,2,4,4,2,3,3,3,2,2,1,1,1,4,1,1,Low Risk
HS2026183,2.2675,2.31,0.78,0.79,0.89,1,0.79,0,No,Rarely,21-23 years,Female,200,Nursing,Middle income,Always,Yes - fewer than 10 hours/week,2-3 hours,5-6 hours,Low risk,5,3,4,5,4,4,3,2,5,4,3,3,4,5,1,3,2,5,5,4,1,2,4,4,1,1,3,3,4,5,4,4,3,2,5,3,2,3,4,4,5,5,Moderate Risk
HS2026184,3.09,3.15,0.7,0.67,0.85,0.77,0.96,0,No,Almost never,21-23 years,Male,200,Nursing,Low income,Always,No,2-3 hours,More than 8 hours,Low risk,3,2,3,5,5,4,3,3,3,3,4,3,3,3,2,3,3,3,2,2,4,1,3,4,2,4,2,4,3,5,5,4,3,3,3,2,2,5,4,2,2,3,Low Risk
HS2026185,2.7675,2.48,0.89,0.72,0.69,0.82,0.92,1,No,Sometimes,24-26 years,Male,300,Nursing,Middle income,Never,Yes - 10-20 hours/week,2-3 hours,More than 8 hours,High risk,4,3,1,1,3,3,1,3,3,2,2,3,4,2,4,3,2,3,4,5,3,3,4,1,4,3,2,2,1,1,3,3,1,3,3,3,1,3,4,5,2,4,Moderate Risk
HS2026186,1.8775,1.6,0.85,0.69,0.73,0.92,1,2,No,Sometimes,27-29 years,Male,300,Nursing,Upper-middle income,Never,Yes - fewer than 10 hours/week,1-2 hours,More than 8 hours,High risk,2,4,2,3,2,3,3,4,3,1,3,1,4,5,3,2,2,2,1,1,2,2,4,1,1,3,3,2,2,3,2,3,3,4,3,3,2,3,5,4,3,2,High Risk
HS2026187,2.6425,1.88,0.69,1,0.69,0.66,0.89,1,No,Rarely,21-23 years,Male,300,Nursing,Low income,Sometimes (monthly),No,Less than 1 hour,6-7 hours,Very low risk,3,3,3,5,2,3,4,4,5,1,1,5,3,2,1,1,3,2,3,3,2,2,4,4,4,5,1,2,3,5,2,3,4,4,5,1,3,4,2,3,4,3,Moderate Risk
HS2026188,2.1975,1.69,0.73,0.59,0.68,0.89,0.93,1,No,Rarely,21-23 years,Male,300,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,2-3 hours,5-6 hours,Low risk,3,3,4,1,2,3,2,4,1,3,5,1,4,4,3,2,3,5,2,3,3,2,1,1,1,2,5,3,4,1,2,3,2,4,1,3,3,4,5,1,4,3,Moderate Risk
HS2026189,1.8475,1.6,0.69,0.55,0.84,0.82,0.8,1,No,Rarely,24-26 years,Female,300,Nursing,Upper-middle income,Rarely (once or twice a semester),No,2-3 hours,4-5 hours,Low risk,4,2,3,5,1,5,3,2,3,4,4,1,4,3,3,5,2,5,3,2,4,2,5,3,1,2,1,4,3,5,1,5,3,2,3,3,3,4,5,4,1,4,High Risk
HS2026190,3.05,2.79,0.68,0.96,0.78,0.95,0.8,3,No,Rarely,24-26 years,Male,300,Nursing,Middle income,Sometimes (monthly),No,1-2 hours,6-7 hours,Low risk,1,1,5,1,3,1,3,4,2,4,5,4,3,1,5,2,1,3,3,1,1,2,3,3,3,1,4,1,5,1,3,1,3,4,2,3,1,1,5,3,3,1,High Risk
HS2026191,2.895,2.26,0.84,0.59,0.7,0.82,0.89,1,No,Almost never,21-23 years,Female,300,Nursing,High income,Never,Yes - more than 20 hours/week,2-3 hours,4-5 hours,Moderate risk,5,1,3,4,1,3,2,3,3,2,4,1,3,5,2,3,4,2,2,4,1,5,5,1,2,2,4,4,3,4,1,3,2,3,3,3,4,3,5,1,2,5,Moderate Risk
HS2026192,2.6225,2.5,0.78,0.93,0.9,0.76,0.93,3,No,Sometimes,30-35 years,Female,300,Nursing,Middle income,Sometimes (monthly),Yes - fewer than 10 hours/week,1-2 hours,Less than 4 hours,Moderate risk,4,1,3,2,4,2,2,3,2,2,2,2,1,5,4,2,4,2,3,1,1,4,3,2,3,4,5,2,3,2,4,2,2,3,2,5,5,4,2,4,4,4,High Risk
HS2026193,1.8275,1.07,0.7,0.75,1,0.79,0.9,3,No,Sometimes,21-23 years,Female,300,Nursing,High income,Never,No,1-2 hours,6-7 hours,Moderate risk,3,3,2,4,3,4,2,4,3,2,2,5,1,2,1,1,5,1,4,4,3,1,4,2,3,1,5,4,2,4,3,4,2,4,3,3,5,2,3,1,4,3,High Risk
HS2026194,2.0975,1.31,0.9,0.57,0.79,0.86,0.79,1,No,Rarely,21-23 years,Female,300,Nursing,Middle income,Sometimes (monthly),Yes - fewer than 10 hours/week,1-2 hours,4-5 hours,Moderate risk,2,2,2,1,5,1,2,3,2,3,3,3,3,3,1,3,2,3,1,3,1,3,3,2,3,4,4,4,2,1,5,1,2,3,2,5,4,5,2,2,3,2,Moderate Risk
HS2026195,3.5625,3.88,1,0.89,0.96,0.82,0.67,0,No,Rarely,24-26 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,2-3 hours,6-7 hours,Moderate risk,1,2,2,4,1,3,2,4,2,1,4,1,4,5,2,5,1,4,2,4,3,1,2,3,3,2,4,4,2,4,1,3,2,4,2,2,2,4,4,2,2,1,Low Risk
HS2026196,1.6,0.98,0.79,1,0.92,1,0.72,4,No,Rarely,30-35 years,Male,300,Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,1-2 hours,4-5 hours,High risk,5,3,4,4,4,5,2,1,2,3,1,2,4,4,2,3,2,1,3,2,4,2,2,2,4,2,4,3,4,4,4,5,2,1,2,3,1,1,1,3,3,5,High Risk
HS2026197,2.785,2.55,0.96,0.89,1,0.91,0.69,1,No,Rarely,27-29 years,Male,300,Nursing,Middle income,Rarely (once or twice a semester),No,More than 4 hours,6-7 hours,Moderate risk,1,2,3,5,3,5,3,1,4,1,4,2,2,4,1,2,3,2,2,3,3,2,2,1,4,4,3,4,3,5,3,5,3,1,4,4,4,2,3,4,2,1,Moderate Risk
HS2026198,3.2375,2.9,0.92,0.89,0.89,0.77,1,1,No,Almost never,27-29 years,Female,300,Nursing,Middle income,Rarely (once or twice a semester),Yes - more than 20 hours/week,2-3 hours,4-5 hours,Low risk,1,4,5,3,1,3,3,2,3,3,3,4,3,2,2,2,4,2,5,4,2,2,5,2,1,3,2,5,5,3,1,3,3,2,3,3,5,2,3,1,5,1,Moderate Risk
HS2026199,2.2925,1.83,1,0.89,0.92,1,0.59,1,No,Sometimes,21-23 years,Female,300,Nursing,Low income,Sometimes (monthly),Yes - more than 20 hours/week,1-2 hours,5-6 hours,Moderate risk,1,2,4,3,2,2,2,4,2,1,3,3,5,2,3,2,1,4,4,5,1,4,5,1,2,4,2,5,4,3,2,2,2,4,2,2,3,2,1,4,1,1,Moderate Risk
HS2026200,2.8575,2.6,0.89,0.7,0.78,1,0.55,2,No,Sometimes,24-26 years,Female,300,Nursing,Low income,Often (weekly),No,More than 4 hours,4-5 hours,Low risk,1,4,2,2,1,4,3,3,3,2,2,2,5,5,3,4,4,2,3,2,2,3,4,3,4,2,5,3,2,2,1,4,3,3,3,3,1,3,5,4,2,1,High Risk
HS2026201,3.165,3.43,0.92,0.77,0.7,0.92,0.96,3,No,Rarely,27-29 years,Male,300,Nursing,Upper-middle income,Rarely (once or twice a semester),No,Less than 1 hour,5-6 hours,Very low risk,2,3,2,1,3,2,2,2,1,4,2,4,4,1,5,2,2,2,5,4,3,3,4,2,4,2,1,4,2,1,3,2,2,2,1,3,1,2,1,5,3,2,High Risk
HS2026202,3.22,3.14,0.78,0.79,0.89,0.74,0.59,2,No,Rarely,27-29 years,Female,300,Nursing,Low income,Always,No,Less than 1 hour,More than 8 hours,Low risk,4,5,2,2,3,5,2,1,4,2,4,3,2,2,5,5,4,2,2,2,5,3,3,2,2,3,1,2,2,2,3,5,2,1,4,1,3,4,3,4,3,4,High Risk
HS2026203,2.935,2.9,0.7,0.69,0.85,0.92,0.93,3,No,Rarely,21-23 years,Male,300,Nursing,Low income,Always,Yes - 10-20 hours/week,1-2 hours,More than 8 hours,Low risk,2,2,5,5,4,3,3,1,1,1,4,4,1,3,3,5,3,2,3,1,4,2,2,1,2,4,2,2,5,5,4,3,3,1,1,2,5,5,4,2,5,2,High Risk
HS2026204,2.51,2.33,0.89,0.6,0.69,0.87,0.75,3,No,Rarely,30-35 years,Male,300,Nursing,Low income,Never,No,2-3 hours,More than 8 hours,High risk,4,2,1,5,5,5,4,1,3,3,2,4,5,2,3,5,3,2,3,4,5,3,1,3,2,2,4,4,1,5,5,5,4,1,3,5,2,4,2,2,3,4,High Risk
HS2026205,2.9825,3.24,0.85,0.79,0.73,1,0.57,2,No,Almost never,27-29 years,Male,300,Nursing,Middle income,Sometimes (monthly),No,3-4 hours,6-7 hours,High risk,2,2,4,1,2,1,2,5,2,3,1,4,2,3,3,4,4,2,4,3,2,4,2,5,4,1,3,2,4,1,2,1,2,5,2,2,5,5,2,3,3,2,High Risk
HS2026206,3.2375,3.26,0.69,0.89,0.69,0.92,0.89,2,No,Sometimes,18-20 years,Female,300,Nursing,Low income,Always,No,More than 4 hours,5-6 hours,Very low risk,5,1,5,1,4,4,3,3,1,5,4,3,4,3,5,3,2,3,2,2,3,2,2,3,1,3,2,4,5,1,4,4,3,3,1,1,4,4,4,4,4,5,High Risk
HS2026207,2.405,2.14,0.73,0.91,0.68,0.93,1,1,No,Sometimes,18-20 years,Male,300,Nursing,Middle income,Sometimes (monthly),Yes - fewer than 10 hours/week,3-4 hours,4-5 hours,Low risk,3,1,2,2,3,3,5,2,2,3,1,5,3,3,1,3,2,2,1,1,2,4,1,2,2,1,5,2,2,2,3,3,5,2,2,3,3,3,1,4,1,3,Moderate Risk
HS2026208,2.945,3.02,0.69,0.66,0.84,0.92,0.89,2,No,Rarely,21-23 years,Female,300,Nursing,Upper-middle income,Never,No,3-4 hours,6-7 hours,Low risk,4,3,4,2,3,3,3,5,3,4,2,1,4,4,1,3,3,4,1,5,3,4,3,3,2,2,3,5,4,2,3,3,3,5,3,1,1,2,1,5,3,4,High Risk
HS2026209,2.6825,2.57,0.68,1,0.78,0.93,0.89,2,No,Rarely,21-23 years,Male,300,Nursing,Upper-middle income,Never,Yes - 10-20 hours/week,More than 4 hours,4-5 hours,Low risk,4,4,2,5,5,4,3,1,3,2,3,5,1,4,4,2,4,4,2,4,4,5,1,3,4,1,4,3,2,5,5,4,3,1,3,3,2,1,1,2,1,4,High Risk
