SID,GPA_S1,CA_AVG,EXAM_AVG,CLIN_AVG,LAB_AVG,ATT_RATE,ASSIGN_LATE,Age_group,Gender,Year_study,Programme,SES,Financial_diff,Employment_hrs,Study_hrs_day,Sleep_hrs,Self_risk_percep,Reviews notes within 24h,Understands content pre-exam,Seeks help when stuck,Uses library regularly,Completes readings,Takes organised notes,Concentration in self-study,Participates in class,Clinical takes study time,Prepared for clinical assess,Rotations affect performance,Adequate supervision,Schedule conflicts,Confident in clinical skills,Anxious about assessments,Sleep difficulty,Burnt out,Hopeless/unmotivated,Physical health affected,Considered break,Emotionally supported,Lecturers approachable,Sleep affects concentration,Regular exercise,Balanced diet,Health interferes studies,Takes rest breaks,Sense of belonging,Participates in clubs,Adequate advisory support,Concerns taken seriously,Early intervention provided,Peer study groups effective,Knows where to get help,Programme prepares for career,Confident to complete prog,Can improve performance,Sets academic goals,Persists when difficult,Manages time effectively,Self-motivates,Feels prepared,RISK_LABEL
HS2026143,2.9,0.6,1,0.9,0.85,0.69,Sometimes,21-23 years,Female,200,BSc Nursing,Middle income,Sometimes (monthly),No,2-3 hours,6-7 hours,Low risk,2,1,2,1,1,3,4,2,4,2,4,3,1,4,5,3,4,2,4,4,1,2,3,1,3,4,5,2,2,1,1,3,4,2,4,2,4,2,3,2,1,2,At-Risk
HS2026144,2.69,0.79,0.64,1,0.77,0.79,Sometimes,21-23 years,Female,200,BSc Nursing,Upper-middle income,Never,No,1-2 hours,4-5 hours,Very low risk,3,2,1,2,4,1,2,2,1,2,3,3,3,1,5,3,1,2,5,4,3,4,3,2,3,5,4,3,1,2,4,1,2,2,1,3,2,2,4,5,3,3,Not At-Risk
HS2026145,2.88,0.87,0.64,1,0.88,0.69,Rarely,24-26 years,Female,200,BSc Nursing,Upper-middle income,Never,Yes - fewer than 10 hours/week,3-4 hours,5-6 hours,Low risk,2,2,2,1,4,4,3,1,2,2,2,3,2,4,1,5,3,5,3,5,2,2,1,3,4,2,3,4,2,1,4,4,3,1,2,5,5,2,3,2,1,2,Not At-Risk
HS2026146,3.02,0.78,0.8,0.7,0.84,1,Rarely,30-35 years,Male,200,BSc Nursing,Middle income,Rarely (once or twice a semester),No,1-2 hours,4-5 hours,Low risk,3,2,2,4,3,3,5,1,4,2,5,2,2,4,3,2,1,2,3,3,4,5,3,3,4,5,1,4,2,4,3,3,5,1,4,2,3,1,4,5,4,3,Not At-Risk
HS2026147,2.67,0.99,0.8,0.69,0.7,0.79,Rarely,27-29 years,Male,200,BSc Nursing,Middle income,Rarely (once or twice a semester),Yes - 10-20 hours/week,3-4 hours,5-6 hours,High risk,4,4,4,1,1,4,3,3,4,3,2,4,3,3,1,4,1,3,5,3,4,3,3,3,4,5,4,1,4,1,1,4,3,3,4,1,3,1,2,3,1,4,Not At-Risk
HS2026148,2.52,0.88,0.8,0.7,0.73,0.9,Rarely,27-29 years,Female,200,BSc Nursing,High income,Never,Yes - 10-20 hours/week,3-4 hours,More than 8 hours,High risk,4,3,5,2,3,4,2,3,5,2,2,5,3,3,2,2,3,4,4,4,4,2,3,1,1,5,3,3,5,2,3,4,2,3,5,1,2,3,2,2,3,4,At-Risk
HS2026149,2.83,1,0.95,0.69,0.92,0.9,Almost never,21-23 years,Female,200,BSc Nursing,Low income,Sometimes (monthly),No,Less than 1 hour,More than 8 hours,Very low risk,1,4,2,3,2,2,4,4,2,2,3,1,3,2,5,5,3,3,3,2,4,3,3,4,3,5,1,2,2,3,2,2,4,4,2,3,4,1,1,5,3,1,At-Risk
HS2026150,3.17,0.89,0.79,0.79,0.69,0.92,Sometimes,24-26 years,Female,200,BSc Nursing,Middle income,Never,No,1-2 hours,More than 8 hours,Low risk,3,4,3,3,2,5,3,1,4,1,3,1,1,3,4,2,2,4,3,5,1,2,5,5,4,2,4,4,3,3,2,5,3,1,4,3,3,4,5,3,4,3,Not At-Risk
HS2026151,3.23,0.9,0.5,0.69,0.89,0.78,Sometimes,27-29 years,Male,200,BSc Nursing,Middle income,Always,No,2-3 hours,6-7 hours,Low risk,4,4,3,2,2,4,1,2,3,2,2,1,3,3,3,4,1,2,3,3,4,4,3,5,2,3,1,4,3,2,2,4,1,2,3,3,2,3,3,2,4,4,Not At-Risk
HS2026152,3.25,1,0.65,0.7,0.73,0.7,Rarely,27-29 years,Female,200,BSc Nursing,Low income,Always,Yes - fewer than 10 hours/week,1-2 hours,5-6 hours,Low risk,2,2,2,3,3,5,1,1,4,1,3,3,2,5,5,3,5,3,5,3,5,2,5,4,5,2,2,3,2,3,3,5,1,1,4,1,3,3,4,2,3,2,At-Risk
HS2026153,3.48,1,0.49,0.89,0.64,0.89,Rarely,21-23 years,Male,200,BSc Nursing,Middle income,Never,No,3-4 hours,4-5 hours,Moderate risk,5,2,3,3,3,4,2,2,4,2,5,5,4,1,1,5,4,5,2,3,3,3,2,2,4,4,2,2,3,3,3,4,2,2,4,1,2,4,3,3,4,5,Not At-Risk
HS2026154,2.92,0.7,0.5,0.7,0.89,0.85,Rarely,30-35 years,Male,200,BSc Nursing,Upper-middle income,Never,Yes - 10-20 hours/week,0,6-7 hours,Moderate risk,4,4,4,3,2,3,1,1,5,2,4,3,2,3,1,4,3,5,2,1,3,5,3,1,1,1,3,3,4,3,2,3,1,1,5,3,1,1,5,5,4,4,Not At-Risk
HS2026155,3.38,0.69,0.53,0.77,0.66,0.69,Rarely,27-29 years,Male,200,BSc Nursing,Low income,Sometimes (monthly),Yes - fewer than 10 hours/week,3-4 hours,4-5 hours,Moderate risk,2,3,2,3,1,5,3,3,2,2,3,4,2,5,5,5,5,1,2,5,4,2,4,4,2,3,4,2,2,3,1,5,3,3,2,2,1,1,2,2,1,2,Not At-Risk
HS2026156,2.63,0.7,0.78,0.79,0.9,0.73,Almost never,18-20 years,Female,200,BSc Nursing,Middle income,Rarely (once or twice a semester),No,2-3 hours,Less than 4 hours,Moderate risk,1,3,1,2,2,1,3,3,1,2,5,3,4,4,3,4,4,4,1,4,1,4,3,5,2,3,1,5,1,2,2,1,3,3,1,2,2,5,4,3,2,1,Not At-Risk
HS2026157,3.19,0.69,0.95,0.69,1,0.69,Sometimes,18-20 years,Male,200,BSc Nursing,Upper-middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,2-3 hours,6-7 hours,Moderate risk,1,2,2,1,5,1,2,3,3,2,4,1,3,3,2,5,3,3,2,1,1,4,2,3,2,1,4,1,2,1,5,1,2,3,3,4,4,3,3,4,5,1,Not At-Risk
HS2026158,3.38,0.79,1,0.6,0.81,0.68,Sometimes,21-23 years,Female,200,BSc Nursing,Middle income,Sometimes (monthly),No,Less than 1 hour,4-5 hours,High risk,2,2,4,2,2,2,1,4,1,3,4,3,4,5,5,5,3,4,2,3,3,5,3,1,3,5,4,2,4,2,2,2,1,4,1,3,1,3,2,3,2,2,Not At-Risk
HS2026159,2.77,0.69,0.66,0.79,1,0.84,Rarely,21-23 years,Male,200,BSc Nursing,High income,Never,No,1-2 hours,6-7 hours,Moderate risk,3,3,2,1,3,4,3,1,3,2,4,1,2,2,4,5,2,3,1,2,3,3,3,1,2,1,5,3,2,1,3,4,3,1,3,1,5,3,3,3,4,3,Not At-Risk
HS2026160,3.04,0.7,0.8,0.89,0.8,0.78,Rarely,24-26 years,Male,200,BSc Nursing,Middle income,Sometimes (monthly),Yes - more than 20 hours/week,More than 4 hours,4-5 hours,Low risk,4,4,4,1,2,4,1,4,4,5,2,1,5,4,5,2,1,5,4,4,5,4,1,3,4,3,4,3,4,1,2,4,1,4,4,2,1,3,1,3,4,4,Not At-Risk
HS2026161,3.15,0.7,0.79,0.91,0.85,0.7,Rarely,27-29 years,Male,200,BSc Nursing,High income,Never,Yes - fewer than 10 hours/week,Less than 1 hour,6-7 hours,Moderate risk,2,4,1,4,3,3,4,5,3,1,4,2,2,2,3,1,2,2,3,5,1,1,2,5,5,4,2,5,1,4,3,3,4,5,3,2,3,3,2,3,4,2,Not At-Risk
HS2026162,3.35,0.89,0.8,0.66,1,0.9,Rarely,21-23 years,Male,200,BSc Nursing,Middle income,Sometimes (monthly),No,2-3 hours,4-5 hours,Low risk,2,3,5,4,2,1,1,5,4,3,3,4,2,2,5,1,4,3,3,4,3,1,5,2,4,2,2,3,5,4,2,1,1,5,4,2,3,3,3,1,4,2,Not At-Risk
HS2026163,2.52,0.89,0.78,1,0.94,1,Almost never,21-23 years,Male,200,BSc Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,More than 4 hours,5-6 hours,Very low risk,4,5,1,3,5,4,3,3,5,3,4,4,3,2,4,5,5,1,5,2,4,5,2,5,5,2,3,3,1,3,5,4,3,3,5,2,3,3,2,3,4,4,Not At-Risk
HS2026164,3.17,0.89,0.64,0.79,1,0.79,Sometimes,24-26 years,Female,200,BSc Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,1-2 hours,4-5 hours,Low risk,5,4,3,5,3,4,4,2,3,4,4,1,5,3,4,2,4,2,3,3,3,3,1,4,4,4,4,4,3,5,3,4,4,2,3,2,3,3,2,3,1,5,Not At-Risk
HS2026165,2.56,0.7,0.64,0.7,0.9,0.96,Sometimes,24-26 years,Male,200,BSc Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,1-2 hours,5-6 hours,Low risk,3,4,1,1,3,1,3,2,1,1,1,4,3,3,2,3,3,3,4,2,1,5,3,3,3,1,4,1,1,1,3,1,3,2,1,4,4,3,5,4,4,3,Not At-Risk
HS2026166,2.77,0.77,0.7,0.93,0.81,0.92,Rarely,21-23 years,Female,200,BSc Nursing,Middle income,Rarely (once or twice a semester),No,1-2 hours,More than 8 hours,High risk,4,5,1,4,2,1,1,4,3,2,2,5,2,1,1,1,2,4,3,4,1,3,1,1,2,1,5,3,1,4,2,1,1,4,3,3,1,3,3,3,1,4,Not At-Risk
HS2026167,2.81,0.79,0.9,0.9,0.84,1,Rarely,30-35 years,Female,200,BSc Nursing,Low income,Sometimes (monthly),Yes - more than 20 hours/week,Less than 1 hour,More than 8 hours,High risk,2,3,5,4,3,3,3,5,2,4,5,1,5,4,5,3,3,4,2,2,5,3,3,2,1,1,2,1,5,4,3,3,3,5,2,3,4,4,3,3,2,2,At-Risk
HS2026168,2.58,0.69,0.75,1,0.86,0.89,Rarely,21-23 years,Female,200,BSc Nursing,Low income,Often (weekly),Yes - more than 20 hours/week,1-2 hours,More than 8 hours,Very low risk,2,3,3,2,2,1,2,3,4,1,4,3,3,1,2,3,3,3,2,2,2,3,3,5,2,2,2,2,3,2,2,1,2,3,4,3,4,2,3,2,1,2,Not At-Risk
HS2026169,3.56,0.6,0.66,1,1,0.92,Rarely,21-23 years,Female,200,BSc Nursing,Upper-middle income,Rarely (once or twice a semester),No,1-2 hours,6-7 hours,Low risk,5,4,3,4,4,5,3,1,3,3,4,3,1,4,2,4,2,4,4,3,2,2,4,2,3,1,4,3,3,4,4,5,3,1,3,2,3,3,4,2,1,5,Not At-Risk
HS2026170,3.06,0.79,0.82,0.7,1,0.78,Almost never,24-26 years,Female,200,BSc Nursing,Low income,Always,No,1-2 hours,5-6 hours,Low risk,3,4,3,1,4,4,4,4,5,3,3,1,1,3,4,5,1,3,1,5,3,2,3,2,2,4,2,3,3,1,4,4,4,4,5,2,2,3,1,5,2,3,Not At-Risk
HS2026171,3.04,0.89,0.76,0.69,0.76,0.7,Sometimes,30-35 years,Male,200,BSc Nursing,Low income,Always,No,1-2 hours,4-5 hours,Low risk,4,4,5,3,2,2,1,3,3,4,2,1,3,4,4,4,3,4,4,5,2,1,3,2,4,2,5,2,5,3,2,2,1,3,3,1,4,4,1,1,1,4,Not At-Risk
HS2026172,3.33,0.91,0.83,0.7,0.82,0.89,Sometimes,27-29 years,Male,200,BSc Nursing,Low income,Never,Yes - 10-20 hours/week,1-2 hours,6-7 hours,Moderate risk,4,5,4,4,3,3,2,3,3,3,2,3,3,1,2,3,3,1,4,1,5,4,2,5,3,4,4,3,4,4,3,3,2,3,3,3,5,2,3,2,1,4,Not At-Risk
HS2026173,3.19,0.66,0.92,0.69,0.86,0.85,Rarely,27-29 years,Female,200,BSc Nursing,Middle income,Sometimes (monthly),No,2-3 hours,4-5 hours,Moderate risk,3,3,5,2,3,4,3,4,4,4,4,4,4,2,5,4,4,5,2,4,1,3,1,1,2,1,3,2,5,2,3,4,3,4,4,4,4,3,1,3,4,3,Not At-Risk
HS2026174,2.85,1,0.84,0.79,0.74,0.69,Rarely,21-23 years,Female,200,BSc Nursing,Low income,Always,No,2-3 hours,Less than 4 hours,Moderate risk,2,5,4,2,2,2,3,4,1,3,3,3,4,2,4,3,4,3,4,2,5,3,3,5,4,5,1,3,4,2,2,2,3,4,1,1,2,4,2,2,3,2,Not At-Risk
HS2026175,3.19,0.79,0.69,0.69,0.95,0.73,Rarely,24-26 years,Female,200,BSc Nursing,Middle income,Sometimes (monthly),No,1-2 hours,6-7 hours,Moderate risk,3,5,2,2,2,2,4,4,3,4,4,4,4,4,4,3,2,3,2,5,4,4,3,2,2,2,5,1,2,2,2,2,4,4,3,5,5,3,3,1,3,3,Not At-Risk
HS2026176,2.65,0.7,0.89,1,0.96,0.69,Rarely,27-29 years,Male,200,BSc Nursing,Upper-middle income,Never,Yes - fewer than 10 hours/week,3-4 hours,4-5 hours,Moderate risk,3,3,4,5,2,4,3,3,4,2,4,5,1,2,2,3,1,3,3,3,2,2,2,3,3,4,3,2,4,5,2,4,3,3,4,3,4,2,3,2,3,3,Not At-Risk
HS2026177,3.02,0.93,0.93,0.79,0.77,0.68,Almost never,27-29 years,Female,200,BSc Nursing,Upper-middle income,Never,No,2-3 hours,6-7 hours,High risk,5,1,2,2,1,3,4,2,4,5,1,1,3,5,4,2,3,1,3,3,1,2,4,1,4,1,2,3,2,2,1,3,4,2,4,5,4,3,2,1,2,5,Not At-Risk
HS2026178,2.17,0.9,0.8,0.9,0.95,0.84,Sometimes,21-23 years,Male,200,BSc Nursing,Middle income,Rarely (once or twice a semester),Yes - 10-20 hours/week,2-3 hours,4-5 hours,Moderate risk,2,2,5,4,4,5,3,1,4,4,3,1,2,2,2,4,2,2,3,1,4,1,3,3,5,3,2,1,5,4,4,5,3,1,4,3,2,4,2,2,4,2,Not At-Risk
HS2026179,3.08,0.6,0.8,0.9,0.98,0.78,Sometimes,30-35 years,Male,200,BSc Nursing,Middle income,Rarely (once or twice a semester),Yes - 10-20 hours/week,2-3 hours,6-7 hours,Low risk,1,2,4,4,5,1,1,1,3,5,1,3,4,2,4,4,4,3,3,2,5,5,4,4,1,3,2,1,4,4,5,1,1,1,3,2,1,4,2,5,1,1,Not At-Risk
HS2026180,3.04,0.79,0.89,0.92,0.88,0.7,Rarely,27-29 years,Male,200,BSc Nursing,High income,Never,No,1-2 hours,4-5 hours,Moderate risk,4,4,3,2,4,2,5,4,1,3,2,4,5,3,5,3,5,2,2,2,4,4,2,4,4,3,2,2,3,2,4,2,5,4,1,1,4,4,2,3,1,4,Not At-Risk
HS2026181,2.3,0.87,0.93,0.78,0.94,0.9,Rarely,18-20 years,Female,200,BSc Nursing,Low income,Sometimes (monthly),No,1-2 hours,5-6 hours,Low risk,3,3,5,3,2,2,2,4,1,2,2,5,4,2,4,4,4,4,2,1,2,1,4,4,2,2,2,4,5,3,2,2,2,4,1,3,3,1,4,2,1,3,Not At-Risk
HS2026182,3.35,0.92,0.9,0.7,0.97,1,Rarely,18-20 years,Male,200,BSc Nursing,Middle income,Never,No,2-3 hours,4-5 hours,Very low risk,1,3,4,4,2,3,3,3,2,4,3,4,5,2,5,2,3,5,3,3,3,3,2,4,3,1,3,2,4,4,2,3,3,3,2,2,1,1,1,4,1,1,Not At-Risk
HS2026183,2.31,0.78,0.79,0.89,1,0.79,Rarely,21-23 years,Female,200,BSc Nursing,Middle income,Always,Yes - fewer than 10 hours/week,2-3 hours,5-6 hours,Low risk,5,3,4,5,4,4,3,2,5,4,3,3,4,5,1,3,2,5,5,4,1,2,4,4,1,1,3,3,4,5,4,4,3,2,5,3,2,3,4,4,5,5,Not At-Risk
HS2026184,3.15,0.7,0.67,0.85,0.77,0.96,Almost never,21-23 years,Male,200,BSc Nursing,Low income,Always,No,2-3 hours,More than 8 hours,Low risk,3,2,3,5,5,4,3,3,3,3,4,3,3,3,2,3,3,3,2,2,4,1,3,4,2,4,2,4,3,5,5,4,3,3,3,2,2,5,4,2,2,3,Not At-Risk
HS2026185,2.48,0.89,0.72,0.69,0.82,0.92,Sometimes,24-26 years,Male,300,BSc Nursing,Middle income,Never,Yes - 10-20 hours/week,2-3 hours,More than 8 hours,High risk,4,3,1,1,3,3,1,3,3,2,2,3,4,2,4,3,2,3,4,5,3,3,4,1,4,3,2,2,1,1,3,3,1,3,3,3,1,3,4,5,2,4,Not At-Risk
HS2026186,1.6,0.85,0.69,0.73,0.92,1,Sometimes,27-29 years,Male,300,BSc Nursing,Upper-middle income,Never,Yes - fewer than 10 hours/week,1-2 hours,More than 8 hours,High risk,2,4,2,3,2,3,3,4,3,1,3,1,4,5,3,2,2,2,1,1,2,2,4,1,1,3,3,2,2,3,2,3,3,4,3,3,2,3,5,4,3,2,At-Risk
HS2026187,1.88,0.69,1,0.69,0.66,0.89,Rarely,21-23 years,Male,300,BSc Nursing,Low income,Sometimes (monthly),No,Less than 1 hour,6-7 hours,Very low risk,3,3,3,5,2,3,4,4,5,1,1,5,3,2,1,1,3,2,3,3,2,2,4,4,4,5,1,2,3,5,2,3,4,4,5,1,3,4,2,3,4,3,Not At-Risk
HS2026188,1.69,0.73,0.59,0.68,0.89,0.93,Rarely,21-23 years,Male,300,BSc Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,2-3 hours,5-6 hours,Low risk,3,3,4,1,2,3,2,4,1,3,5,1,4,4,3,2,3,5,2,3,3,2,1,1,1,2,5,3,4,1,2,3,2,4,1,3,3,4,5,1,4,3,Not At-Risk
HS2026189,1.6,0.69,0.55,0.84,0.82,0.8,Rarely,24-26 years,Female,300,BSc Nursing,Upper-middle income,Rarely (once or twice a semester),No,2-3 hours,4-5 hours,Low risk,4,2,3,5,1,5,3,2,3,4,4,1,4,3,3,5,2,5,3,2,4,2,5,3,1,2,1,4,3,5,1,5,3,2,3,3,3,4,5,4,1,4,At-Risk
HS2026190,2.79,0.68,0.96,0.78,0.95,0.8,Rarely,24-26 years,Male,300,BSc Nursing,Middle income,Sometimes (monthly),No,1-2 hours,6-7 hours,Low risk,1,1,5,1,3,1,3,4,2,4,5,4,3,1,5,2,1,3,3,1,1,2,3,3,3,1,4,1,5,1,3,1,3,4,2,3,1,1,5,3,3,1,At-Risk
HS2026191,2.26,0.84,0.59,0.7,0.82,0.89,Almost never,21-23 years,Female,300,BSc Nursing,High income,Never,Yes - more than 20 hours/week,2-3 hours,4-5 hours,Moderate risk,5,1,3,4,1,3,2,3,3,2,4,1,3,5,2,3,4,2,2,4,1,5,5,1,2,2,4,4,3,4,1,3,2,3,3,3,4,3,5,1,2,5,Not At-Risk
HS2026192,2.5,0.78,0.93,0.9,0.76,0.93,Sometimes,30-35 years,Female,300,BSc Nursing,Middle income,Sometimes (monthly),Yes - fewer than 10 hours/week,1-2 hours,Less than 4 hours,Moderate risk,4,1,3,2,4,2,2,3,2,2,2,2,1,5,4,2,4,2,3,1,1,4,3,2,3,4,5,2,3,2,4,2,2,3,2,5,5,4,2,4,4,4,At-Risk
HS2026193,1.07,0.7,0.75,1,0.79,0.9,Sometimes,21-23 years,Female,300,BSc Nursing,High income,Never,No,1-2 hours,6-7 hours,Moderate risk,3,3,2,4,3,4,2,4,3,2,2,5,1,2,1,1,5,1,4,4,3,1,4,2,3,1,5,4,2,4,3,4,2,4,3,3,5,2,3,1,4,3,At-Risk
HS2026194,1.31,0.9,0.57,0.79,0.86,0.79,Rarely,21-23 years,Female,300,BSc Nursing,Middle income,Sometimes (monthly),Yes - fewer than 10 hours/week,1-2 hours,4-5 hours,Moderate risk,2,2,2,1,5,1,2,3,2,3,3,3,3,3,1,3,2,3,1,3,1,3,3,2,3,4,4,4,2,1,5,1,2,3,2,5,4,5,2,2,3,2,Not At-Risk
HS2026195,3.88,1,0.89,0.96,0.82,0.67,Rarely,24-26 years,Female,300,BSc Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,2-3 hours,6-7 hours,Moderate risk,1,2,2,4,1,3,2,4,2,1,4,1,4,5,2,5,1,4,2,4,3,1,2,3,3,2,4,4,2,4,1,3,2,4,2,2,2,4,4,2,2,1,At-Risk
HS2026196,0.98,0.79,1,0.92,1,0.72,Rarely,30-35 years,Male,300,BSc Nursing,Middle income,Rarely (once or twice a semester),Yes - fewer than 10 hours/week,1-2 hours,4-5 hours,High risk,5,3,4,4,4,5,2,1,2,3,1,2,4,4,2,3,2,1,3,2,4,2,2,2,4,2,4,3,4,4,4,5,2,1,2,3,1,1,1,3,3,5,At-Risk
HS2026197,2.55,0.96,0.89,1,0.91,0.69,Rarely,27-29 years,Male,300,BSc Nursing,Middle income,Rarely (once or twice a semester),No,More than 4 hours,6-7 hours,Moderate risk,1,2,3,5,3,5,3,1,4,1,4,2,2,4,1,2,3,2,2,3,3,2,2,1,4,4,3,4,3,5,3,5,3,1,4,4,4,2,3,4,2,1,Not At-Risk
HS2026198,2.9,0.92,0.89,0.89,0.77,1,Almost never,27-29 years,Female,300,BSc Nursing,Middle income,Rarely (once or twice a semester),Yes - more than 20 hours/week,2-3 hours,4-5 hours,Low risk,1,4,5,3,1,3,3,2,3,3,3,4,3,2,2,2,4,2,5,4,2,2,5,2,1,3,2,5,5,3,1,3,3,2,3,3,5,2,3,1,5,1,Not At-Risk
HS2026199,1.83,1,0.89,0.92,1,0.59,Sometimes,21-23 years,Female,300,BSc Nursing,Low income,Sometimes (monthly),Yes - more than 20 hours/week,1-2 hours,5-6 hours,Moderate risk,1,2,4,3,2,2,2,4,2,1,3,3,5,2,3,2,1,4,4,5,1,4,5,1,2,4,2,5,4,3,2,2,2,4,2,2,3,2,1,4,1,1,Not At-Risk
HS2026200,2.6,0.89,0.7,0.78,1,0.55,Sometimes,24-26 years,Female,300,BSc Nursing,Low income,Often (weekly),No,More than 4 hours,4-5 hours,Low risk,1,4,2,2,1,4,3,3,3,2,2,2,5,5,3,4,4,2,3,2,2,3,4,3,4,2,5,3,2,2,1,4,3,3,3,3,1,3,5,4,2,1,At-Risk
HS2026201,3.43,0.92,0.77,0.7,0.92,0.96,Rarely,27-29 years,Male,300,BSc Nursing,Upper-middle income,Rarely (once or twice a semester),No,Less than 1 hour,5-6 hours,Very low risk,2,3,2,1,3,2,2,2,1,4,2,4,4,1,5,2,2,2,5,4,3,3,4,2,4,2,1,4,2,1,3,2,2,2,1,3,1,2,1,5,3,2,At-Risk
HS2026202,3.14,0.78,0.79,0.89,0.74,0.59,Rarely,27-29 years,Female,300,BSc Nursing,Low income,Always,No,Less than 1 hour,More than 8 hours,Low risk,4,5,2,2,3,5,2,1,4,2,4,3,2,2,5,5,4,2,2,2,5,3,3,2,2,3,1,2,2,2,3,5,2,1,4,1,3,4,3,4,3,4,At-Risk
HS2026203,2.9,0.7,0.69,0.85,0.92,0.93,Rarely,21-23 years,Male,300,BSc Nursing,Low income,Always,Yes - 10-20 hours/week,1-2 hours,More than 8 hours,Low risk,2,2,5,5,4,3,3,1,1,1,4,4,1,3,3,5,3,2,3,1,4,2,2,1,2,4,2,2,5,5,4,3,3,1,1,2,5,5,4,2,5,2,At-Risk
HS2026204,2.33,0.89,0.6,0.69,0.87,0.75,Rarely,30-35 years,Male,300,BSc Nursing,Low income,Never,No,2-3 hours,More than 8 hours,High risk,4,2,1,5,5,5,4,1,3,3,2,4,5,2,3,5,3,2,3,4,5,3,1,3,2,2,4,4,1,5,5,5,4,1,3,5,2,4,2,2,3,4,At-Risk
HS2026205,3.24,0.85,0.79,0.73,1,0.57,Almost never,27-29 years,Male,300,BSc Nursing,Middle income,Sometimes (monthly),No,3-4 hours,6-7 hours,High risk,2,2,4,1,2,1,2,5,2,3,1,4,2,3,3,4,4,2,4,3,2,4,2,5,4,1,3,2,4,1,2,1,2,5,2,2,5,5,2,3,3,2,At-Risk
HS2026206,3.26,0.69,0.89,0.69,0.92,0.89,Sometimes,18-20 years,Female,300,BSc Nursing,Low income,Always,No,More than 4 hours,5-6 hours,Very low risk,5,1,5,1,4,4,3,3,1,5,4,3,4,3,5,3,2,3,2,2,3,2,2,3,1,3,2,4,5,1,4,4,3,3,1,1,4,4,4,4,4,5,At-Risk
HS2026207,2.14,0.73,0.91,0.68,0.93,1,Sometimes,18-20 years,Male,300,BSc Nursing,Middle income,Sometimes (monthly),Yes - fewer than 10 hours/week,3-4 hours,4-5 hours,Low risk,3,1,2,2,3,3,5,2,2,3,1,5,3,3,1,3,2,2,1,1,2,4,1,2,2,1,5,2,2,2,3,3,5,2,2,3,3,3,1,4,1,3,Not At-Risk
HS2026208,3.02,0.69,0.66,0.84,0.92,0.89,Rarely,21-23 years,Female,300,BSc Nursing,Upper-middle income,Never,No,3-4 hours,6-7 hours,Low risk,4,3,4,2,3,3,3,5,3,4,2,1,4,4,1,3,3,4,1,5,3,4,3,3,2,2,3,5,4,2,3,3,3,5,3,1,1,2,1,5,3,4,At-Risk
HS2026209,2.57,0.68,1,0.78,0.93,0.89,Rarely,21-23 years,Male,300,BSc Nursing,Upper-middle income,Never,Yes - 10-20 hours/week,More than 4 hours,4-5 hours,Low risk,4,4,2,5,5,4,3,1,3,2,3,5,1,4,4,2,4,4,2,4,4,5,1,3,4,1,4,3,2,5,5,4,3,1,3,3,2,1,1,2,1,4,At-Risk
HS2026210,2.81,0.84,0.79,0.7,0.89,0.89,Rarely,24-26 years,Male,300,BSc Nursing,Middle income,Rarely (once or twice a semester),Yes - 10-20 hours/week,2-3 hours,Less than 4 hours,Moderate risk,3,2,3,3,1,3,4,3,4,4,2,2,3,1,3,4,3,3,4,4,3,3,3,4,2,3,4,5,3,3,1,3,4,3,4,3,5,2,2,2,2,3,At-Risk
HS2026211,2.55,0.78,0.7,0.9,0.95,0.7,Rarely,27-29 years,Male,300,BSc Nursing,Middle income,Rarely (once or twice a semester),No,More than 4 hours,6-7 hours,Moderate risk,2,3,3,3,1,1,2,2,4,2,5,4,4,1,3,2,2,2,1,4,3,3,1,1,3,2,5,4,3,3,1,1,2,2,4,4,2,3,1,4,3,2,Not At-Risk
HS2026212,1.6,0.7,0.93,1,0.9,0.77,Almost never,21-23 years,Male,300,BSc Nursing,High income,Never,No,3-4 hours,4-5 hours,Moderate risk,5,3,5,1,4,3,3,3,2,3,1,4,2,2,4,3,4,1,2,1,2,3,5,3,4,4,1,1,5,1,4,3,3,3,2,3,2,2,4,2,3,5,At-Risk
HS2026213,2.4,0.9,0.9,0.79,1,0.79,Sometimes,21-23 years,Male,300,BSc Nursing,Low income,Sometimes (monthly),No,1-2 hours,6-7 hours,Moderate risk,1,4,5,2,2,2,4,4,2,1,2,4,1,2,2,1,4,3,4,2,2,2,3,4,1,2,3,2,5,2,2,2,4,4,2,3,2,4,2,5,2,1,At-Risk
HS2026214,1.93,1,0.6,0.96,0.84,0.69,Sometimes,24-26 years,Female,300,BSc Nursing,Middle income,Never,Yes - fewer than 10 hours/week,3-4 hours,4-5 hours,Moderate risk,3,5,3,1,1,3,4,4,2,3,4,5,3,3,1,1,2,3,2,1,3,2,1,4,2,1,3,4,3,1,1,3,4,4,2,2,5,3,4,4,3,3,At-Risk
